id,part,file,fps
CU346759,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/CU346759_part_2_disgust.mkv,30.3
DD642193,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/DD642193_part_2_neutral.mkv,28.83558220889555
DD642193,joy,/data/sit_21_hu_video_mix_home/processed/hrv/DD642193_part_2_joy.mkv,28.529980657640234
DD642193,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/DD642193_part_2_disgust.mkv,26.55777374470659
DH144585,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/DH144585_part_2_neutral.mkv,30.3
DH144585,joy,/data/sit_21_hu_video_mix_home/processed/hrv/DH144585_part_2_joy.mkv,30.3
DH144585,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/DH144585_part_2_disgust.mkv,30.3
DM195412,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/DM195412_part_2_neutral.mkv,30.0
DM195412,joy,/data/sit_21_hu_video_mix_home/processed/hrv/DM195412_part_2_joy.mkv,30.0
DM195412,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/DM195412_part_2_disgust.mkv,30.0
DQ571687,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/DQ571687_part_2_neutral.mkv,28.935532233883055
DQ571687,joy,/data/sit_21_hu_video_mix_home/processed/hrv/DQ571687_part_2_joy.mkv,26.079948420373952
DQ571687,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/DQ571687_part_2_disgust.mkv,27.586206896551722
EF844871,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/EF844871_part_2_neutral.mkv,30.0
EF844871,joy,/data/sit_21_hu_video_mix_home/processed/hrv/EF844871_part_2_joy.mkv,30.0
EF844871,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/EF844871_part_2_disgust.mkv,30.0
EP388169,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/EP388169_part_2_neutral.mkv,30.3
EP388169,joy,/data/sit_21_hu_video_mix_home/processed/hrv/EP388169_part_2_joy.mkv,30.3
EP388169,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/EP388169_part_2_disgust.mkv,30.3
ET594733,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/ET594733_part_2_neutral.mkv,30.3
ET594733,joy,/data/sit_21_hu_video_mix_home/processed/hrv/ET594733_part_2_joy.mkv,30.3
ET594733,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/ET594733_part_2_disgust.mkv,30.3
FA475848,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/FA475848_part_2_neutral.mkv,30.3
FA475848,joy,/data/sit_21_hu_video_mix_home/processed/hrv/FA475848_part_2_joy.mkv,30.3
FA475848,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/FA475848_part_2_disgust.mkv,30.3
FK815797,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/FK815797_part_2_neutral.mkv,30.3
FK815797,joy,/data/sit_21_hu_video_mix_home/processed/hrv/FK815797_part_2_joy.mkv,30.3
FK815797,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/FK815797_part_2_disgust.mkv,30.3
FP552631,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/FP552631_part_2_neutral.mkv,30.3
FP552631,joy,/data/sit_21_hu_video_mix_home/processed/hrv/FP552631_part_2_joy.mkv,30.3
FP552631,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/FP552631_part_2_disgust.mkv,30.3
GB791111,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/GB791111_part_2_neutral.mkv,27.936031984007993
GB791111,joy,/data/sit_21_hu_video_mix_home/processed/hrv/GB791111_part_2_joy.mkv,26.434558349451965
GB791111,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/GB791111_part_2_disgust.mkv,26.346037507562006
GK664615,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/GK664615_part_2_neutral.mkv,30.3
GK664615,joy,/data/sit_21_hu_video_mix_home/processed/hrv/GK664615_part_2_joy.mkv,30.3
GK664615,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/GK664615_part_2_disgust.mkv,30.3
GP213121,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/GP213121_part_2_neutral.mkv,30.3
