id,part,file,fps
01-058,neutral,/data/sit_22_hu_video_mix_lab/processed/hrv/pre_01-058_part_2_neutral.mkv,30.3
01-058,joy,/data/sit_22_hu_video_mix_lab/processed/hrv/pre_01-058_part_2_joy.mkv,30.3
01-058,disgust,/data/sit_22_hu_video_mix_lab/processed/hrv/pre_01-058_part_2_disgust.mkv,30.3
